,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
2301,002594.SZ,20110630,22.0,26.19,22.0,25.45,18.0,7.45,41.39,562925.34,1349342.2682
2300,002594.SZ,20110701,25.77,28.0,25.0,28.0,25.45,2.55,10.02,335612.79,898679.1874
2299,002594.SZ,20110704,28.88,30.8,28.58,30.8,28.0,2.8,10.0,219645.91,653517.9022
2298,002594.SZ,20110705,32.78,33.88,31.89,33.05,30.8,2.25,7.31,381080.83,1257045.5958
2297,002594.SZ,20110706,32.8,35.55,32.11,33.4,33.05,0.35,1.06,312967.19,1056613.8658
2296,002594.SZ,20110707,33.1,33.97,32.58,33.59,33.4,0.19,0.57,226450.17,753817.6994
2295,002594.SZ,20110708,33.4,33.66,31.86,33.07,33.59,-0.52,-1.55,175064.35,571756.762
2294,002594.SZ,20110711,32.8,33.62,32.51,32.83,33.07,-0.24,-0.73,130967.33,431480.9799
2293,002594.SZ,20110712,32.48,32.63,31.2,31.51,32.83,-1.32,-4.02,180603.53,573997.3239
2292,002594.SZ,20110713,30.82,31.3,30.52,31.19,31.51,-0.32,-1.02,167815.24,519016.7699
2291,002594.SZ,20110714,31.19,31.57,29.33,30.0,31.19,-1.19,-3.82,193804.77,588273.969
2290,002594.SZ,20110715,29.8,30.18,29.13,29.81,30.0,-0.19,-0.63,139468.1,413502.3182
2289,002594.SZ,20110718,29.79,32.6,29.71,32.04,29.81,2.23,7.48,313659.28,976900.5063
2288,002594.SZ,20110719,31.1,31.44,29.9,30.05,32.04,-1.99,-6.21,160857.1,488925.1086
2287,002594.SZ,20110720,30.5,31.25,30.09,30.4,30.05,0.35,1.16,110172.85,338149.3469
2286,002594.SZ,20110721,30.05,30.1,29.01,29.16,30.4,-1.24,-4.08,100731.27,295566.8769
2285,002594.SZ,20110722,29.2,29.6,28.81,29.4,29.16,0.24,0.82,61436.71,180016.3804
2284,002594.SZ,20110725,29.01,29.15,27.5,27.66,29.4,-1.74,-5.92,85728.78,242368.9685
2283,002594.SZ,20110726,27.68,28.3,27.32,28.02,27.66,0.36,1.3,54683.34,152789.2047
2282,002594.SZ,20110727,27.9,29.31,27.4,29.2,28.02,1.18,4.21,99175.67,284095.0063
2281,002594.SZ,20110728,28.6,28.7,27.91,28.4,29.2,-0.8,-2.74,57659.46,163589.2832
2280,002594.SZ,20110729,28.41,29.2,28.01,28.17,28.4,-0.23,-0.81,51224.94,146357.8358
2279,002594.SZ,20110801,28.06,29.58,28.0,29.11,28.17,0.94,3.34,83125.28,241332.0815
2278,002594.SZ,20110802,28.66,31.96,28.21,30.64,29.11,1.53,5.26,173749.21,524957.8167
2277,002594.SZ,20110803,30.2,32.0,30.03,30.57,30.64,-0.07,-0.23,132819.82,411353.3638
2276,002594.SZ,20110804,30.3,30.88,29.65,29.93,30.57,-0.64,-2.09,86576.15,259924.0711
2275,002594.SZ,20110805,28.53,29.36,28.0,28.63,29.93,-1.3,-4.34,73093.18,209889.8495
2274,002594.SZ,20110808,28.0,28.0,25.8,26.24,28.63,-2.39,-8.35,90570.6,243182.9306
2273,002594.SZ,20110809,25.03,26.7,24.07,26.45,26.24,0.21,0.8,89982.69,230757.589
2272,002594.SZ,20110810,26.99,27.42,26.42,26.45,26.45,0.0,0.0,73566.31,197888.4117
2271,002594.SZ,20110811,25.05,26.55,25.05,26.49,26.45,0.04,0.15,52259.61,136539.9484
2270,002594.SZ,20110812,26.75,27.89,26.66,26.88,26.49,0.39,1.47,68325.13,186010.0412
2269,002594.SZ,20110815,27.0,29.15,27.0,28.45,26.88,1.57,5.84,116744.21,330605.6421
2268,002594.SZ,20110816,28.3,28.3,27.5,27.61,28.45,-0.84,-2.95,66999.03,186667.6222
2267,002594.SZ,20110817,27.5,28.17,27.41,27.79,27.61,0.18,0.65,37897.07,105697.7073
2266,002594.SZ,20110818,27.82,27.99,26.71,26.8,27.79,-0.99,-3.56,46994.24,127311.2037
2265,002594.SZ,20110819,26.0,26.37,25.68,26.11,26.8,-0.69,-2.57,38502.1,100115.4536
2264,002594.SZ,20110822,26.11,26.62,25.9,26.31,26.11,0.2,0.77,34515.66,90872.027
